"Chinés simplificat 
(RPC)","Chinés traditional 
(Taiwan, etc.)",HSK,Pronunciation,Signification
爱,愛,1,ài,amar; amore
八,八,1,bā,ott
爸爸,爸爸,1,bàba,patre; papá
杯子,杯子,1,bēizi,cope; tasse
北京,北京,1,Běijīng,Beijing
本,本,1,běn,mesur-parol por libres
不客气,不客氣,1,bú kèqi,neproquó; ne esse polit
不,不,1,bù,no; ne
菜,菜,1,cài,manjage; legumes
茶,茶,1,chá,té
吃,吃,1,chī,manjar
出租车,出租車,1,chūzūchē,taxi
打电话,打電話,1,dǎ diànhuà,telefonar
大,大,1,dà,grand
的,的,1,de,de (in órdine contrari a ti de Occidental)
点,點,1,diǎn,un punctu; un poc; hora
电脑,電腦,1,diànnǎo,computator
电视,電視,1,diànshì,television
电影,電影,1,diànyǐng,filme
东西,東西,1,dōngxi,cose; coses
都,都,1,dōu,omni; ambi
读,讀,1,dú,leer; studiar
对不起,對不起,1,duìbuqǐ,pardon
多,多,1,duō,mult
多少,多少,1,duōshao,quant?
儿子,兒子,1,érzi,filio
二,二,1,èr,du
饭店,飯店,1,fàndiàn,restaurant; hotel
飞机,飛機,1,fēijī,aeroplane
分钟,分鐘,1,fēnzhōng,minute; mesur-parol por témpor
高兴,高興,1,gāoxìng,felici
个,個,1,ge,general mesur-parol
工作,工作,1,gōngzuò,laborar; un labor
狗,狗,1,gǒu,can
汉语,漢語,1,Hànyǔ,lingue chinés
好,好,1,hǎo,bon
号,號,1,hào,numeró; die del mensu
喝,喝,1,hē,trincar
和,和,1,hé,e; con
很,很,1,hěn,tre
后面,后面,1,hòumian,retro; detra
回,回,1,huí,retornar; responder
会,會,1,huì,posser far
几,幾,1,jǐ,quant; pluri; quelc
家,家,1,jiā,familie; dom
叫,叫,1,jiào,nominar se
今天,今天,1,jīntiān,hodie
九,九,1,jiǔ,nin
开,開,1,kāi,aperter; startar; conducter un vehicul
看,看,1,kàn,vider; spectar
看见,看見,1,kànjiàn,vider; capter vista de
块,塊,1,kuài,glebe; pezze; summa pecuniari
来,來,1,lái,venir; arivar; desde; sequent
老师,老師,1,lǎoshī,instructor
了,了,1,le,indica un action complet o finit
冷,冷,1,lěng,frigid
里,裡,1,lǐ,intra; milie chinés (~.5 km)
六,六,1,liù,six
妈妈,媽媽,1,māma,mamá; matre
吗,嗎,1,ma,esque
买,買,1,mǎi,comprar
猫,貓,1,māo,cat
没关系,沒關系,1,méi guānxi,ne importa
没有,沒有,1,méiyǒu,ne hay
米饭,米飯,1,mǐfàn,ris (cocinat)
明天,明天,1,míngtiān,deman
名字,名字,1,míngzi,nómine
哪,哪,1,nǎa,quel; qualmen
哪儿,哪兒,1,nǎr,u? (accentu Beijing)
那,那,1,nà,ti-ta; tande
呢,呢,1,ne,qualmen (tu pensa pri…)?
能,能,1,néng,posser
你,你,1,nǐ,tu
年,年,1,nián,annu
女儿,女兒,1,nǚ'ér,filia
朋友,朋友,1,péngyou,amico/a
漂亮,漂亮,1,piàoliang,bell
苹果,蘋果,1,píngguǒ,pom
七,七,1,qī,sett
钱,錢,1,qián,moné; monete
前面,前面,1,qiánmiàn,in avan
请,請,1,qǐng,ples; invitar; regalar alquem
去,去,1,qù,ear; departer
热,熱,1,rè,calore; calid
人,人,1,rén,person; mann; persones
认识,認識,1,rènshi,conosser; conosser un person
三,三,1,sān,tri
商店,商店,1,shāngdiàn,"butíca, magasine"
上,上,1,shàng,"súper, ad-supra"
