Baleari,Occidental
abblatíu,ablative
abestrús,struce
abre,árbor
abre,árbor
acadèmi,academie (-ic)
advèrbo,adverbie (-al)
agre,acre
altre,altri
arquitètte,architecte (-ura)
aygo,"aqua (-ar, -tic)"
aygo,"aqua (-ar, -tic)"
cadira,stul
cólzo,cude
ensiam,latug
esperit,"alcohol, sprite"
ètzit,successe
formatje,"caseo (-in)"
igglesi,"(cos) eclesie, congregation; (edifissi) eclesia"
llengo,lingue
llet,"n. lacte (-era, -in, -ifer, -age, -osi, -ar)"
llit,lette
pestenaga,carotte
remêy,remedie
sofà,sofa
tabac,"tabac (-venditor, -iere)"
tomàtiga,tomate
universidat,universitá
xerrà,"parlar, discurrer"
xot,agnelle (-a)
