Espanol,Occidental
(a)fuera ,extern;
a bordo, a bord.
a popa," a, vers li sterne"
abad," abate (-essa, -ia, -iatu)"
abadía ,abatia
abandonado, abandonat
abandonar," abandonar, ceder"
abdicar," abdicar; (office) demisser, demissionar, resignar, renunciar"
abdomen," ventre, abdómine (-al)"
abducir," rapter (-or, -ion), forducter"
aberración ,"deviation, vagantie; (astr.) aberration; (mental) desórdine mental"
abismo ,"abisse, precipitie"
ablativo ,ablative
abolir ,"abolir (-ition); (annul) abrogar, anullar"
abominar ,"abominar, detestar (-ation)"
abominar," abominar (-abil, -ation)"
aborrecer ,"abominar, detestar (-ation)"
abrasión ,abrasion
abreviar ,"acurtar, abreviar"
abreviar ,"acurtar, reducter"
abrogar,"abrogar (-ation, -ator)"
abrupto ,abrupt;
absceso ,abscesse
absenta ,"absinte, vermute"
absolutamente ,"ínfallibilmen, absolutmen"
absoluto ,"absolut, soveran, ínlimitat"
absolver ,absoluer (-tion)
absorber ,"absorpter (-ion), insucar"
abstemio ,"abstenent, frugal, moderat"
abstenerse ,abstener se (-entie); (alcohol) abstiner (-ente)
abstracto ,a. abstra(c)t
abstraer ,v. abstraer (-tion).
abstruso ,"obscur, profund, ocult, celat"
absurdo ,"absurd (-itá), stult, idiotic"
abundancia ,abundantie
abundar ,"abundar (-ant, -antie), pulular"
abusar ,"v. insultar, invectivar; misusar."
acacia ,acacie; (false) robinia
academia  ,academie (-ic)
acanto ,acante
acatar ,"tener, observar"
acceder ,acceder;
acceso ,"accesse (-ibil, -ion)"
accesorio ,a. accessori; n.pl. accessories
accidente," accidente (-al), chance, hasarde ~ GRAMATICAL: flexion, morfologie"
acelerar ,"accelerar (-ation, -ator)"
acento ,"accentu (-al, -ar, -ation); (of speech) parla-maniere"
aceptable ,"acceptabil, agreabil"
aceptar ,acceptar (-ation)
aclamar ,"aclamar (-ation, -atori)"
aclimatarse ,aclimatisar (-ation)
acomodar ,"acomodar, adaptar; (oblige) compleser; (put up) albergar"
acompañar ,acompaniar (-ament)
acordeón ,acordeon (-ist)
acre ,acre
acróbata ,acrobate (-ic)
acumular ,"acumular (-ation, -ator), amassar, augmentar se"
acusar ,"acusar (-ation, -ator, -ativ, -ative)"
acústico ,acustic. (~S) acustica
adaptar ,adaptar (-ation)
adecuado," adequat, suficent"
adherir ,"adherer (-ente,-Sion, -Siv)"
adhesivo ,"adhesive, colle"
adiós ,"adío, til revide"
adjetivo ,"adjective (-al, -ic)"
adjunto ,"suplement, anexe, adjuntete"
admitir," admisser (-ion); confesser; conceder, aconosser"
adorable ,charmant
adquirir ,"aquisir, obtener, ganiar"
adquisición ,aquisition
adverbio ,adverbie (-al)
adversario ,"adversario, oponente, antagonist"
adverso ,"adversi, contrari"
adyacente ,"adjacent, vicin"
aglomerar ,aglomerar (-ation)
aglutinar ,aglutinar (-ation)
agrandar ,agrandar
agricultura ,agricultura (-al)
ajustar ,adjustar
ala ,ale (-ar)
alentador ,bon-augurant
alfabeto ,alfabete (-ic)
alienar ,"alienar, vendir"
aliteración  ,alitteration
alpaca ,alpaca
alquimia ,alchimie
altar ,altare
alterar ,"alterar (-ation), changear, mutar, modificar"
alternar  ,"v. alternar (-ation, -ative, -ator)"
altitud  ,"altore, altitá; (geogr.) altitudine"
alucinación' ,"halucination, ilusion"
amarillo," yelb (-esse, -ore)"
ambición ,ambitie (-osi)
ambiguo ,ambigui (-tá)
ambulancia ,ambulantie
amplio ,"ampli ( -ficar, -fication, -ficator), suficent"
añadir ,adjunter
anfibio ,n. amfibie a. amfibic
año ,"annu (-al, -arium)"
arbolado ,arborat
arruga ,"n. frunse (-ar), sulca (-ar)"
asistir ,auxiliar
astuto ,astut
atacar ,ataccar
ataque ,n. atacca
aunque ,"benque, etsi"
ausentarse ,v. absentar se
ausente ,a. absent (-ie).
auxiliar ,auxiliar
aventura ,"aventura (-ero, -osi)"
avisar ,avisar
ayer ,yer. el periódico de ~ li yeral jurnale
ayudar ,"v. auxiliar, assister, subtener, sucurser; (at table) servir, dar. HE CAN'T ~ IT: il ne posse ne far to, il ne posse evitar (impedir) to. THAT * no tiene remedio : to ne posse'esser remediat."
bayoneta ,bayonette
becada ,becasse
bellota ,glande
bosque ,boscage
bostezar ,v. hiar (-ada)
bruja ,"sorciera, sorciarda, maga."
brujería ,sorcieríe; fascination; sorcie
brusquedad ,abruptitá
calcular ,"calcular (-ation, -ator), evaluar. CALCULATING MACHINE: machine calculatori"
cálculo ,calcu
calefacción ,calentation
carpintería ,"carpenteríe, ligneríe"
cazador ,"chassator, chassero; chass-cavalle"
cazar ,chassar. ~ FOR: serchar
cebra ,zebre
cero ,"null, zero"
cheque ,chec
coartada ,alibi
cólera ,"colere (-osi', -ic); indignation,ira"
cómplice ,"complice, incitator"
concerder ,"conceder, consentir"
conseguir ,"acompleer, efectuar, executer, atinger"
contable ,contator de libres
cortejar ,cortesar
criatura ,horm
cuesta ,"coline, declive"
cuyo ,de qui
degradar ,"abassar, degradar, humilar"
dejar de piedra ,"consternat, perplex, surprisat"
desierto ,"deserte, savagia"
después ,"poy, plu tard, pos to"
detestar ,"abominar, detestar (-ation)"
detestar ,"detestar (-abil, -ation)"
domicilio ,"logí, habitation, domicilie"
electrodo ,electrode
embarcar ,inbarcar
emboscada ,inboscada
emboscada (tender una) ,v. inboscar
eminente ,eminent (-ie)
emir ,emir
emisario ,emissario
emitit ,emisser (-ion); far audir
entre ,inter.
escribir ,"scrir (-tor, -tion)"
esposa ,marita
estopor ,vinde
exacerbar," exacerbar (-ation), agravar,"
exagerar ,exagerar (-ation)
exaltar ,"exaltar (-ation), laudar"
expresar ,expresser.
franco," (adj.) franc, apert, sinceri"
fugarse ,"fugir, escapar secretmen, forcurrer"
ganar ,ganiar
guirnalda ,guirlande
habilidad ,"capabilitá, habilitá, facultate"
hechicería, fascination; sorcie
humillar ,"abassar, degradar, humilar"
incitar ,"incitar, instigar; suportar"
infligir ,inflicter
ingenioso ,"habil, capabil, talentat"
inmoral ,"ínmoral, depravat"
insulto ,"n. insulte(s), invective; misusa"
invierno ,"hiverne (-al, -ar)"
joven ,"a. yun. n. júveno, yuno"
juventud,li yunité
lana ,"lane (-at, -in, -atri, -osi, -age, -eríe)"
lindar ,adjacer
listo ,"habil, capabil, talentat"
lobo, lupo (-a).
lograr ,"acompleer, efectuar, executer, atinger"
luchar ,v. luctar (contra)
luego ,"poy, plu tard, pos to"
madera ,ligne. de ~ lignin
manera ,n. maniere
matadero ,"bucheria, abattuore"
mejor ,"melior, plu bon; (health) plu san; v. ameliorar"
mejorar ,ameliorar (-ation)
molino de viento ,vent-moline
morada ,"logí, habitation, domicilie"
muñeca ,"anat. juntura del manu, manu-articul"
palabra ,"parol, vocabul."
parabrisas ,paravente
peluca ,peruque (-ero)
permanecer ,"permaner, restar"
perro guardián ,can de garda
persona ,person
por consiguiente ,"ergo, dunc, pro to"
por lo tanto ,"ergo, dunc, pro to"
por qué ,pro quo
potro ,unannuon
precisión ,"precision, corectitá, acuratesse"
preciso ,"acurat, exact, corect, precisi, sin erras"
pretexto ,pretexte
principado ,principatu
principalmente ,precipue
promesa ,n. promesse (-er)
prometedor ,bon-augurant
prometer en matrimonio ,sponder
prominente ,"~ (-ie), proeminent"
promiscuo ,promiscui (-tá)
quien ,qui.
quienquiera ,quicunc
química ,chimie
rayos X,X-radies
reconocer ,"aconosser (-ement), confesser, admisser"
reducir ,"reducter (-ion, -or), diminuer, abassar"
redundante ,superflú (-itá)
renunciar ,"abnegar (-ation), renunciar"
resaca ,posebriachie
responsable´ ,responsabil
retirarse ,"retraer, retirar (se)"
retorcer ,extorder
retractarse ,retractar
sabiduría ,"sagiesse, sapientie, prudentie"
sabio ,"a. sagi, sapient, prudent; doct; discret;"
sí ,yes
sin ,sin; (outside) extra
sobre ,(prep.) súper;
sobre ,"concernent, pri; (approx.) circa; (around) circum. TO BE ~ SOMETHING: ocupar se pri. TO BE ~ TO: esser sur li punctu de"
sobre ,"(adv.) supra, ad-supra"
súbito ,subit.
sumar ,"(arith.) addir, summar"
superfluo ,superflú (-itá)
también ,anc; (moreover) adplu
tentáculo ,tentacul
textualmente,"parol por parol, textualmen"
tienda ,tenda ~ india wigwam
tráquea ,traché
triunfo  ,n. triumfa
tu ,tui
un ,art. un
vencer ,victer
vengar ,venjar
ventana ,fenestre (-al); (shop ~) vitrine. alféizar de la ~ planca de fenestre
víbora ,vípere
victoria ,"n. victorie, triumfa, ganie"
viento ,"n. vente (-osi); contra el ~ vers li vente, al vente de"
vigilante ,"vigilant, atentiv"
vuestro ,"vor, vostri"
xilófono ,xilofon
xilografía ,"xilografie, ligne-gravura"
ya ,ja
yak ,yak
yate ,yatch
yola ,n. yolle
zulú ,zulu (-land)
